2024-06-17 20:56:55,394 INFO:Starting system metrics collection...
2024-06-17 21:00:09,032 INFO:Collected metrics: {'cpu_usage': 2.9, 'memory_usage': 13.3, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40667899, 'bytes_recv': 946319835, 'packets_sent': 235658, 'packets_recv': 676985, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:10,032 INFO:Collected metrics: {'cpu_usage': 3.4, 'memory_usage': 13.3, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40672297, 'bytes_recv': 946326555, 'packets_sent': 235690, 'packets_recv': 677022, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:11,033 INFO:Collected metrics: {'cpu_usage': 4.0, 'memory_usage': 13.3, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40674651, 'bytes_recv': 946328343, 'packets_sent': 235708, 'packets_recv': 677034, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:12,033 INFO:Collected metrics: {'cpu_usage': 2.2, 'memory_usage': 13.2, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40678719, 'bytes_recv': 946334191, 'packets_sent': 235738, 'packets_recv': 677068, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:13,034 INFO:Collected metrics: {'cpu_usage': 5.9, 'memory_usage': 13.3, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40679090, 'bytes_recv': 946334478, 'packets_sent': 235741, 'packets_recv': 677070, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:14,035 INFO:Collected metrics: {'cpu_usage': 14.0, 'memory_usage': 13.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40683282, 'bytes_recv': 946339950, 'packets_sent': 235773, 'packets_recv': 677102, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:15,035 INFO:Collected metrics: {'cpu_usage': 13.9, 'memory_usage': 13.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40697154, 'bytes_recv': 946363724, 'packets_sent': 235840, 'packets_recv': 677167, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:16,036 INFO:Collected metrics: {'cpu_usage': 16.7, 'memory_usage': 13.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40703826, 'bytes_recv': 946386842, 'packets_sent': 235880, 'packets_recv': 677208, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:17,037 INFO:Collected metrics: {'cpu_usage': 3.6, 'memory_usage': 13.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40704684, 'bytes_recv': 946387469, 'packets_sent': 235888, 'packets_recv': 677214, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:18,038 INFO:Collected metrics: {'cpu_usage': 3.0, 'memory_usage': 13.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40704684, 'bytes_recv': 946387683, 'packets_sent': 235888, 'packets_recv': 677215, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:19,039 INFO:Collected metrics: {'cpu_usage': 5.8, 'memory_usage': 13.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40704982, 'bytes_recv': 946389399, 'packets_sent': 235890, 'packets_recv': 677219, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:20,039 INFO:Collected metrics: {'cpu_usage': 5.8, 'memory_usage': 13.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40704982, 'bytes_recv': 946389719, 'packets_sent': 235890, 'packets_recv': 677222, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:21,040 INFO:Collected metrics: {'cpu_usage': 8.2, 'memory_usage': 13.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40705854, 'bytes_recv': 946391053, 'packets_sent': 235897, 'packets_recv': 677233, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
